theta_B_deg,kdf,residual_norm,radius_residual,length_residual,mass_residual,performance_residual,rao_exit_residual,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
19.2,0.5299999999999999,0.33051387537398896,-0.009141414214290869,0.5713572607586882,6.397690244211698e-10,-0.03443226058058385,25.89173828011059,3.480790458930281,3.480790458930281,0.0,8.254076436928594,8.254076436928594,0.0,0.0,3.7831621530531137,3.6834197023240307,True,0,ok
19.2,0.57,0.44872231356470066,0.04228735979517875,0.7756200998915251,3.4609599821226914e-09,-0.026084169881101862,2.6243143034035255,3.6110687385982287,3.6110687385982287,0.0,7.291503163259325,7.291503163259325,0.0,0.0,3.143932960902805,3.8174960481039704,True,0,ok
19.2,0.61,0.5753774539120831,0.09218544365947516,0.9920968395108586,5.05228053874216e-10,-0.020575432460224717,1.623830572716292,3.7378795551348047,3.7378795551348047,0.0,6.389967422583681,6.389967422583681,0.0,0.0,2.580333042122878,3.945070766778408,True,0,ok
19.2,0.6499999999999999,0.7090278831015642,0.14034569144279077,1.2199030433298739,1.1647230763888232e-08,-0.01735709694657935,1.3224616293161982,3.86133272298957,3.86133272298957,0.0,5.545295926961588,5.545295926961588,0.0,0.0,2.0853110327851554,4.065921909648291,True,0,ok
19.2,0.69,0.8487889379053598,0.18658526152073568,1.4581699317385561,9.100825905115104e-10,-0.01594909678757879,1.1849020878327432,3.9815219127896135,3.9815219127896135,0.0,4.753823934148712,4.753823934148712,0.0,0.0,1.651445400437494,4.179825271854825,True,0,ok
19.2,0.73,0.9932738350059136,0.23078549135271925,1.7047754473948464,1.7687301919880562e-09,-0.016045711665435336,1.1105675490650067,4.098698303095094,4.098698303095094,0.0,4.009554314046662,4.009554314046662,0.0,0.0,1.2759312530731484,4.286782187726588,True,0,ok
19.2,0.7699999999999999,1.1414474748638892,0.27287851599995194,1.9580462735926503,2.10194278555663e-09,-0.017295074300116287,1.0666696852789417,4.212860975790098,4.212860975790098,0.0,3.310712318540299,3.310712318540299,0.0,0.0,0.9533650839818806,4.386592303955367,True,0,ok
19.2,0.8099999999999999,1.291914095741818,0.31282166706379627,2.215601571952159,1.84559222773276e-09,-0.019451768756278638,1.03946682228682,4.324162973694319,4.324162973694319,0.0,2.6534458466299946,2.6534458466299946,0.0,0.0,0.679954189162382,4.479206552539365,True,0,ok
19.2,0.85,1.445362180659651,0.34931526854944356,2.4788515878958792,1.6373192984382866e-08,-0.022116694779609373,1.021649277672896,4.4327530467850025,4.4327530467850025,0.0,2.034256617537265,2.034256617537265,0.0,0.0,0.43948636856284673,4.5632064681083415,True,0,ok
19.8,0.05,0.769376564973398,-0.6153148638865334,-0.8962258743885938,1.943271793856304e-09,-0.7707059728245872,0.04904080797774441,1.8800018755548549,1.8800018755548549,0.0,21.018890939370763,21.018890939370763,0.0,0.0,18.983025141308158,1.9230010404963942,True,0,ok
19.8,0.09,0.6770022515303927,-0.5645535639338382,-0.8220663141295402,1.1571551514197833e-10,-0.6168325496881122,0.034159312206826366,2.0011198376766384,2.0011198376766384,0.0,20.702353792247987,20.702353792247987,0.0,0.0,17.331970064787214,2.0674449279052993,True,0,ok
19.8,0.13,0.5915916132034594,-0.5126447308158419,-0.7403855937873589,1.690867375094076e-09,-0.4888419610844669,0.017474869230429766,2.1354927615262898,2.1354927615262898,0.0,20.02910446762791,20.02910446762791,0.0,0.0,15.64256933689793,2.219530610386735,True,0,ok
19.8,0.16999999999999998,0.5090240792858889,-0.45844000728462825,-0.6481339678355288,3.545489490627777e-11,-0.38349922990429114,-0.0027080953610883617,2.285810164460214,2.285810164460214,0.0,18.91626887476108,18.91626887476108,0.0,0.0,13.853036681462406,2.3851037625507012,True,0,ok
19.8,0.20999999999999996,0.4263921404933905,-0.4019615509439302,-0.5427926133397671,1.1268861518982317e-09,-0.2987203757532154,-0.022114757650103612,2.447710934778928,2.447710934778928,0.0,17.46471337066198,17.46471337066198,0.0,0.0,12.045447912015918,2.5617950180701774,True,0,ok
19.8,0.24999999999999994,0.34874214913421725,-0.3483974718477014,-0.4357565770454349,3.794646775549709e-09,-0.23151385902367472,-0.010960423020465975,2.5853557193262344,2.5853557193262344,0.0,16.584232306728357,16.584232306728357,0.0,0.0,10.837734761219098,2.712933845098068,True,0,ok
19.8,0.29,0.264431007667135,-0.28922652552961425,-0.30795045099140766,3.1717810078427867e-09,-0.17687795258828978,0.007790494598544973,2.7449286963279653,2.7449286963279653,0.0,15.200328521733605,15.200328521733605,0.0,0.0,9.4153523336832,2.887095474382099,True,0,ok
