theta_B_deg,kdf,residual_norm,radius_residual,length_residual,sigma_E_rad,theta_Rao_E_deg,mass_residual,performance_residual,rao_exit_residual,thrust_coefficient,thrust_coefficient_target,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
24.9375,0.1275,0.22648100842985602,-0.19535155666653664,-0.32527512430981215,0.099573110584187,7.6663968763829455,7.68459084731789e-10,-0.28482476343068336,0.7441721425926299,1.1063254323091,1.5469291660826012,2.9957874406175042,2.9957874406175042,0.0,20.641880464766395,20.641880464766395,0.0,0.0,13.371515865846288,3.058548705956708,True,0,ok
24.9375,0.13125,0.20934141664841743,-0.1794185819295377,-0.2983457728245412,0.10134228371819881,7.285877767207618,2.7494107787292474e-10,-0.27495170751506154,0.796950666590107,1.1215983504633398,1.5469291660826012,3.030657903105692,3.030657903105692,0.0,20.365351535038005,20.365351535038005,0.0,0.0,13.09236291047777,3.0959153149057888,True,0,ok
24.9375,0.135,0.19301172893793678,-0.16421571829512974,-0.2722458812972886,0.10332453970046016,6.931624011336999,6.04930436594042e-10,-0.2655883166730254,0.8540653727446479,1.1360828528503162,1.5469291660826012,3.062870425166864,3.062870425166864,0.0,20.13828155815441,20.13828155815441,0.0,0.0,12.851684056305286,3.130152795997665,True,0,ok
24.9375,0.13874999999999998,0.17612498898943002,-0.1483816093942792,-0.2447674410555584,0.10550750225580094,6.550821899852565,7.496298847030577e-09,-0.2565988784473457,0.9228055164132092,1.149988877028318,1.5469291660826012,3.0966041299005735,3.0966041299005735,0.0,19.881626516344333,19.881626516344333,0.0,0.0,12.595956486076972,3.1663549997950273,True,0,ok
24.9375,0.1425,0.15968366014318428,-0.13277920965120676,-0.21731825023836562,0.10788453803909025,6.176168635773679,9.055667067453826e-10,-0.24804995885370465,1.0008354805202195,1.1632134500862163,1.5469291660826012,3.1292709429739656,3.1292709429739656,0.0,19.643937865400503,19.643937865400503,0.0,0.0,12.357497340132136,3.2013580269683755,True,0,ok
24.9375,0.14625,0.14338316131541617,-0.11697645966249572,-0.18917994674508432,0.110470124833656,5.791045789436046,6.748338842738552e-09,-0.23988000968965056,1.0929756291683927,1.1758517827335038,1.5469291660826012,3.1621299744563314,3.1621299744563314,0.0,19.40205377093874,19.40205377093874,0.0,0.0,12.12051770468788,3.2366994567753453,True,0,ok
24.9375,0.15,0.12755171751243302,-0.1010759923126679,-0.16050916692431094,0.11326417364898628,5.398792938824979,1.312725738934941e-10,-0.23209875669979785,1.2020388990017847,1.1878888299321744,1.5469291660826012,3.194892372885254,3.194892372885254,0.0,19.161140944958355,19.161140944958355,0.0,0.0,11.888352058948765,3.272026744823935,True,0,ok
24.9375,0.15375,0.11267307962381017,-0.08522369946818079,-0.13155963762032247,0.11625253293544635,5.004819603809604,7.042767857694727e-11,-0.2246862048101131,1.3308730428238766,1.1993555226454284,1.5469291660826012,3.2271473289232944,3.2271473289232944,0.0,18.928754476018657,18.928754476018657,0.0,0.0,11.665599098716278,3.3068307600627023,True,0,ok
24.9375,0.1575,0.09901802214663787,-0.06912049955622865,-0.10179472861585283,0.119473410835292,4.597206003978461,9.576586291855126e-10,-0.2176274898860993,1.4890179380629869,1.210274854636448,1.5469291660826012,3.2597218036237336,3.2597218036237336,0.0,18.69011254217804,18.69011254217804,0.0,0.0,11.442528208873252,3.3421277006328194,True,0,ok
24.9375,0.16125,0.08773853679947242,-0.05315564958785318,-0.07190398226557841,0.12287573711022808,4.190596071613718,2.185622635198708e-09,-0.21091657819586884,1.6800142558869973,1.22065615966107,1.5469291660826012,3.2915649907650217,3.2915649907650217,0.0,18.4637420263701,18.4637420263701,0.0,0.0,11.230857212588813,3.37662188009857,True,0,ok
24.9375,0.16499999999999998,0.07969769435758592,-0.03686814475457582,-0.04104341600233644,0.12653594494435305,3.7668369139175586,2.7483040395599138e-09,-0.20453413740277018,1.9246852910526218,1.2305293434747098,1.5469291660826012,3.3239004378943497,3.3239004378943497,0.0,18.228424913804954,18.228424913804954,0.0,0.0,11.016812515928736,3.4118183266122206,True,0,ok
24.9375,0.16875,0.07643249848787666,-0.020714717605606066,-0.010078270643954263,0.13036529220097273,3.344717116741354,2.348154132385508e-09,-0.19847673042419656,2.2331876739945806,1.2398997230006976,1.5469291660826012,3.355435852473638,3.355435852473638,0.0,18.00628346314727,18.00628346314727,0.0,0.0,10.814098154846839,3.446125276248744,True,0,ok
24.9375,0.1725,0.07866758325655979,-0.004376580727119537,0.02166192713831511,0.1344521194331894,2.9083913383380406,4.88106089059553e-09,-0.1927265430574098,2.6487284873130967,1.2487948555488197,1.5469291660826012,3.387204847945617,3.387204847945617,0.0,17.779868343660276,17.779868343660276,0.0,0.0,10.611930328448672,3.4808092389590417,True,0,ok
24.9375,0.17625,0.08618871429856388,0.011949997758096157,0.053777186054375134,0.13874687467101024,2.466661042116893,7.709825942721557e-11,-0.1872793797552789,3.222822351163863,1.2572212313333009,1.5469291660826012,3.41860923626328,3.41860923626328,0.0,17.559182420943138,17.559182420943138,0.0,0.0,10.416271381396362,3.515132374051812,True,0,ok
24.9375,0.18,0.098001122352597,0.028386652919555916,0.08648334379207817,0.14327417467803452,2.015272445853795,2.3579043183670993e-09,-0.18212147527251787,4.0733973905913565,1.265200144213552,1.5469291660826012,3.449898254802691,3.449898254802691,0.0,17.340144202468586,17.340144202468586,0.0,0.0,10.224277968125303,3.5494011933669247,True,0,ok
25.03125,0.12,0.2496521295659261,-0.21551710171505645,-0.36157928176008897,0.09895129741749764,8.142766829002797,9.628026404804643e-10,-0.3014176769192925,0.6962610913986702,1.0806573704832851,1.5469291660826012,2.9533591958923,2.9533591958923,0.0,21.090812633057812,21.090812633057812,0.0,0.0,13.812258548369174,3.010928221234212,True,0,ok
25.03125,0.12375,0.23297126982256178,-0.1999339958650877,-0.3357883248190473,0.10049594967384373,7.784394774039566,5.568621999459562e-10,-0.2907569007840232,0.7396841940330277,1.0971488360200106,1.5469291660826012,2.9872788292790378,2.9872788292790378,0.0,20.84227432884375,20.84227432884375,0.0,0.0,13.542388548509933,3.0468391487018387,True,0,ok
25.03125,0.1275,0.2156663000533256,-0.18377467457867988,-0.30872774142212506,0.10222479931976894,7.401840763111373,3.207792781181376e-08,-0.2805299225887454,0.7912963477658699,1.1129692468711767,1.5469291660826012,3.0226086494692885,3.0226086494692885,0.0,20.56512376214749,20.56512376214749,0.0,0.0,13.258890325705941,3.084592138145124,True,0,ok
25.03125,0.13125,0.19869531558778147,-0.16791051061685677,-0.28176674704510446,0.10417795349108541,7.028495956153245,1.8019615518272485e-09,-0.2708209475074113,0.8492509763947044,1.1279883435972615,1.5469291660826012,3.0566122051477547,3.0566122051477547,0.0,20.312271104374204,20.312271104374204,0.0,0.0,12.99745300950262,3.1208436560310244,True,0,ok
