x_m,y_m
2.61844274e-02,3.11057646e-02
2.71578147e-02,3.14791400e-02
2.81464481e-02,3.18552337e-02
2.91503277e-02,3.22340455e-02
3.01694534e-02,3.26155755e-02
3.12038254e-02,3.29998237e-02
3.22534435e-02,3.33867901e-02
3.33183078e-02,3.37764748e-02
3.43984183e-02,3.41688776e-02
3.54937749e-02,3.45639986e-02
3.66043778e-02,3.49618377e-02
3.77302268e-02,3.53623951e-02
3.88713220e-02,3.57656707e-02
4.00276633e-02,3.61716645e-02
4.11992509e-02,3.65803764e-02
4.23860846e-02,3.69918066e-02
4.35881645e-02,3.74059550e-02
4.48054906e-02,3.78228215e-02
4.60380629e-02,3.82424062e-02
4.72858813e-02,3.86647092e-02
4.85489460e-02,3.90897303e-02
4.98272568e-02,3.95174696e-02
5.11208137e-02,3.99479272e-02
5.24296169e-02,4.03811029e-02
5.37536662e-02,4.08169968e-02
5.50929618e-02,4.12556089e-02
5.64475035e-02,4.16969392e-02
5.78172913e-02,4.21409876e-02
5.92023254e-02,4.25877543e-02
6.06026056e-02,4.30372392e-02
6.20181320e-02,4.34894423e-02
6.34489046e-02,4.39443635e-02
6.48949234e-02,4.44020030e-02
6.63561883e-02,4.48623606e-02
6.78326995e-02,4.53254365e-02
6.93244568e-02,4.57912305e-02
7.08314602e-02,4.62597428e-02
7.23537099e-02,4.67309732e-02
7.38912058e-02,4.72049218e-02
7.54439478e-02,4.76815886e-02
7.70119360e-02,4.81609736e-02
7.85951703e-02,4.86430768e-02
8.01936509e-02,4.91278982e-02
8.18073776e-02,4.96154378e-02
8.34363505e-02,5.01056956e-02
8.50805696e-02,5.05986716e-02
8.67400349e-02,5.10943657e-02
8.84147463e-02,5.15927781e-02
9.01047040e-02,5.20939087e-02
9.18099078e-02,5.25977574e-02
9.35303578e-02,5.31043244e-02
9.52660539e-02,5.36136095e-02
9.70169963e-02,5.41256128e-02
9.87831848e-02,5.46403344e-02
1.00564619e-01,5.51577741e-02
1.02361300e-01,5.56779320e-02
1.04173227e-01,5.62008081e-02
1.06000401e-01,5.67264024e-02
1.07842820e-01,5.72547149e-02
1.09700486e-01,5.77857456e-02
1.11573397e-01,5.83194945e-02
1.13461555e-01,5.88559616e-02
1.15364960e-01,5.93951469e-02
1.17283610e-01,5.99370503e-02
1.19217506e-01,6.04816720e-02
1.21166649e-01,6.10290118e-02
1.23131038e-01,6.15790699e-02
1.25110673e-01,6.21318461e-02
1.27105554e-01,6.26873406e-02
1.29115681e-01,6.32455532e-02
